brandSlug,modelSlug,categoryPath,fuelTypes,level,action
ds-automobiles,ds-4-e-tense,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
fiat,500e,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
fiat,600e,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
fiat,e-doblo,arac/minivan-panelvan,ELECTRIC,series,SET_FUEL_TYPES
fiat,e-ducato,arac/ticari-araclar,ELECTRIC,series,SET_FUEL_TYPES
fiat,topolino,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
ford,capri-ev,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
ford,e-transit,arac/ticari-araclar,ELECTRIC,series,SET_FUEL_TYPES
ford,e-transit-courier,arac/minivan-panelvan,ELECTRIC,series,SET_FUEL_TYPES
ford,explorer-ev,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
ford,mustang-mach-e,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
honda,e-ny1,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
honda,honda-e,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
hyundai,inster,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
hyundai,ioniq-5,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
hyundai,ioniq-6,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
hyundai,kona-electric,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
jaguar,i-pace,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
jeep,avenger-electric,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
kia,ev3,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
kia,ev5,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
kia,ev6,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
kia,ev9,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
kia,niro-ev,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
leapmotor,c10,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
leapmotor,c11,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
leapmotor,t03,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
lexus,rz,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
lexus,ux-300e,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
mercedes-benz,eqa,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
mercedes-benz,eqb,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
mercedes-benz,eqc,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
mercedes-benz,eqe,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
mercedes-benz,eqe-suv,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
mercedes-benz,eqs,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
mercedes-benz,eqs-suv,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
