electricVehicleType,brand,series,modelVariant,canonicalCategory,canonicalSubcategory,canonicalBrandId,canonicalSeriesId,canonicalVariantId,canonicalExists,fuelType,action,source,confidence
elektrikli-suv-pickup,BYD,Tang,Tang,arac/arazi-suv-pickup,,cmshvhmsy0002uza8qaxheiih,cmsi37zx600bmuzbgclpu183i,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Citroen,Ami,Ami,arac/otomobil,,cmshtjhuh000cuz6sl9mjsqrp,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-minivan-panelvan,Citroen,e-Berlingo,e-Berlingo,arac/minivan-panelvan,,cmshtjhuh000cuz6sl9mjsqrp,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Citroen,e-C3,e-C3,arac/otomobil,,cmshtjhuh000cuz6sl9mjsqrp,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Citroen,e-C4,e-C4,arac/otomobil,,cmshtjhuh000cuz6sl9mjsqrp,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Citroen,e-C4 X,e-C4 X,arac/arazi-suv-pickup,,cmshtjhuh000cuz6sl9mjsqrp,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Cupra,Born,Born,arac/otomobil,,cmshvhmtq0004uza88oj91gwb,cmsi380bg00ewuzbglcdxevrs,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Cupra,Tavascan,Tavascan,arac/arazi-suv-pickup,,cmshvhmtq0004uza88oj91gwb,cmsi3849201a2uzbg571uh14j,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,DS Automobiles,DS 3 E-Tense,DS 3 E-Tense,arac/arazi-suv-pickup,,cmsi37wz6000duzbgdam6bfy0,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,DS Automobiles,DS 4 E-Tense,DS 4 E-Tense,arac/otomobil,,cmsi37wz6000duzbgdam6bfy0,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Fiat,500e,RED | La Prima | Icon,arac/otomobil,,cmshtjhry0006uz6sx1royaoe,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Fiat,600e,600e,arac/arazi-suv-pickup,,cmshtjhry0006uz6sx1royaoe,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-minivan-panelvan,Fiat,E-Doblo,E-Doblo,arac/minivan-panelvan,,cmshtjhry0006uz6sx1royaoe,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-ticari,Fiat,E-Ducato,E-Ducato,arac/ticari-araclar,,cmshtjhry0006uz6sx1royaoe,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Fiat,Topolino,Topolino,arac/otomobil,,cmshtjhry0006uz6sx1royaoe,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Ford,Capri EV,Capri EV,arac/arazi-suv-pickup,,cmshtjhs50007uz6sydflj8za,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-ticari,Ford,E-Transit,E-Transit,arac/ticari-araclar,,cmshtjhs50007uz6sydflj8za,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-minivan-panelvan,Ford,E-Transit Courier,E-Transit Courier,arac/minivan-panelvan,,cmshtjhs50007uz6sydflj8za,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Ford,Explorer EV,Explorer EV,arac/arazi-suv-pickup,,cmshtjhs50007uz6sydflj8za,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Ford,Mustang Mach-E,Select | Premium | GT,arac/arazi-suv-pickup,,cmshtjhs50007uz6sydflj8za,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Honda,e:Ny1,e:Ny1,arac/arazi-suv-pickup,,cmsg3mpf2004buzswb0k5lm8s,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Honda,Honda e,Honda e,arac/otomobil,,cmsg3mpf2004buzswb0k5lm8s,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Hyundai,Inster,Inster,arac/otomobil,,cmshtjhsi0009uz6s7xmuhi8w,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Hyundai,Ioniq 5,SE | SEL | Limited,arac/arazi-suv-pickup,,cmshtjhsi0009uz6s7xmuhi8w,cmsi384lc01csuzbg3xfrz1g2,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Hyundai,Ioniq 6,Ioniq 6,arac/otomobil,,cmshtjhsi0009uz6s7xmuhi8w,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Hyundai,Kona Electric,Kona Electric,arac/arazi-suv-pickup,,cmshtjhsi0009uz6s7xmuhi8w,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
