oldSlug,oldPath,oldCategoryId,targetCategoryId,targetPath,redirectType,reason,preserveSeo,active,notes
sifir-urun-beyaz-esya__no-frost,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/no-frost,cmsg3xgwd005luzdczbg5qdwz,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-beyaz-esya__gardirop-tipi,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/gardirop-tipi,cmsg3xgwl005nuzdcgpl7tkao,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-fotograf-kamera__fotograf-makinesi,sifir-urun/elektronik/fotograf-ve-kamera/fotograf-kamera/fotograf-makinesi,cmsg3xh91008fuzdc774prz92,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-fotograf-kamera__objektif,sifir-urun/elektronik/fotograf-ve-kamera/fotograf-kamera/objektif,cmsg3xh9m008luzdc2lhby8xv,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-fotograf-kamera__tripod-aksesuar,sifir-urun/elektronik/fotograf-ve-kamera/fotograf-kamera/tripod-aksesuar,cmsg3xh9u008nuzdcn9mpo67o,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-oyun-konsol__oyun,sifir-urun/elektronik/oyun-ve-konsol/oyun-konsol/oyun,cmsg3xh7e0081uzdc7qnjowfz,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-ev-elektronigi__isiticilar,sifir-urun/sifir-urun-ev-elektronigi/isiticilar,cmsg3xh54007juzdcu4xw1fg8,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-ev-elektronigi__nem-alici,sifir-urun/sifir-urun-ev-elektronigi/nem-alici,cmsg3xh5d007luzdc8wcf168q,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-ev-elektronigi__utu-makinesi,sifir-urun/sifir-urun-ev-elektronigi/utu-makinesi,cmsg3xh5j007nuzdcxy5fxy14,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-ev-elektronigi__su-aritma,sifir-urun/sifir-urun-ev-elektronigi/su-aritma,cmsg3xh5t007puzdcry188nlg,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-ev-elektronigi__diger-ev-elektronik,sifir-urun/sifir-urun-ev-elektronigi/diger-ev-elektronik,cmsg3xh63007ruzdcbu03rqaf,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-teknik-elektronik__elektronik-komponent,sifir-urun/sifir-urun-teknik-elektronik/elektronik-komponent,cmsg3xhbr0091uzdckxwp3a3v,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-teknik-elektronik__arduino-raspberry,sifir-urun/sifir-urun-teknik-elektronik/arduino-raspberry,cmsg3xhc40093uzdceipe4zr2,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-teknik-elektronik__olcum-cihazi,sifir-urun/sifir-urun-teknik-elektronik/olcum-cihazi,cmsg3xhcb0095uzdcxn7vhwj9,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-teknik-elektronik__guvenlik-kamera,sifir-urun/sifir-urun-teknik-elektronik/guvenlik-kamera,cmsg3xhch0097uzdcjbgb4iw3,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-teknik-elektronik__telsiz-haberlesme,sifir-urun/sifir-urun-teknik-elektronik/telsiz-haberlesme,cmsg3xhcq0099uzdcuueznmxr,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-teknik-elektronik__diger-teknik,sifir-urun/sifir-urun-teknik-elektronik/diger-teknik,cmsg3xhd1009buzdc8hh06x88,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-giyim-aksesuar__kadin-giyim,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/kadin-giyim,cmsg3xhgr00a3uzdcm2l6v0bz,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-giyim-aksesuar__erkek-giyim,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/erkek-giyim,cmsg3xhgx00a5uzdcibdkfgcj,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-giyim-aksesuar__ust-giyim,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/ust-giyim,cmsg3xhhc00a9uzdc398gz2xm,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-giyim-aksesuar__alt-giyim,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/alt-giyim,cmsg3xhhu00abuzdcpst0lb76,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-giyim-aksesuar__spor-giyim,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/spor-giyim,cmsg3xhia00afuzdc1ks2rfgz,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-giyim-aksesuar__ic-giyim,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/ic-giyim,cmsg3xhil00ahuzdcjltxgunu,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-giyim-aksesuar__aksesuar-giyim,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/aksesuar-giyim,cmsg3xhix00ajuzdcfuswu4rw,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-saat-taki__kol-saati,sifir-urun/sifir-urun-saat-taki/kol-saati,cmsg3xht900bzuzdccxs5ex1b,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-saat-taki__set-taki,sifir-urun/sifir-urun-saat-taki/set-taki,cmsg3xhv900cbuzdcisdc2s26,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-kisisel-bakim__cilt-bakim,sifir-urun/sifir-urun-kisisel-bakim/cilt-bakim,cmsg3xhy400cruzdccxizc257,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-kisisel-bakim__sac-bakim,sifir-urun/sifir-urun-kisisel-bakim/sac-bakim,cmsg3xhyt00cvuzdcyh6vkq2u,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-kisisel-bakim__tiras-epilasyon,sifir-urun/sifir-urun-kisisel-bakim/tiras-epilasyon,cmsg3xhzf00czuzdcqmfrn5tv,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-kisisel-bakim__agiz-bakim,sifir-urun/sifir-urun-kisisel-bakim/agiz-bakim,cmsg3xhzx00d1uzdc1jtbzbr0,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-kisisel-bakim__erkek-bakim,sifir-urun/sifir-urun-kisisel-bakim/erkek-bakim,cmsg3xi0g00d3uzdc7by3vyg5,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-anne-bebek__oto-koltugu,sifir-urun/sifir-urun-anne-bebek/oto-koltugu,cmsg3xi4600dnuzdcgi3tt8qc,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-anne-bebek__bebek-bakim,sifir-urun/sifir-urun-anne-bebek/bebek-bakim,cmsg3xi5000dtuzdckoicrtic,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-anne-bebek__oyuncak-bebek,sifir-urun/sifir-urun-anne-bebek/oyuncak-bebek,cmsg3xi5700dvuzdc3a9u7zee,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-anne-bebek__emzirme,sifir-urun/sifir-urun-anne-bebek/emzirme,cmsg3xi5g00dxuzdc8oboyx8d,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-anne-bebek__hamile,sifir-urun/sifir-urun-anne-bebek/hamile,cmsg3xi5u00dzuzdco0d1bm39,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-bahce-yapi-market__bahce-aletleri,sifir-urun/sifir-urun-bahce-yapi-market/bahce-aletleri,cmsg3xidu00fhuzdc6focam1e,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-bahce-yapi-market__cayir-bicme,sifir-urun/sifir-urun-bahce-yapi-market/cayir-bicme,cmsg3xie000fjuzdcl9asgi0c,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-bahce-yapi-market__sulama,sifir-urun/sifir-urun-bahce-yapi-market/sulama,cmsg3xie900fluzdccz8unian,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-bahce-yapi-market__yapi-malzeme,sifir-urun/sifir-urun-bahce-yapi-market/yapi-malzeme,cmsg3xief00fnuzdc3s4lvqk4,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-bahce-yapi-market__el-aleti,sifir-urun/sifir-urun-bahce-yapi-market/el-aleti,cmsg3xiem00fpuzdckq3kn6k7,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-bahce-yapi-market__elektrikli-el-aleti,sifir-urun/sifir-urun-bahce-yapi-market/elektrikli-el-aleti,cmsg3xieu00fruzdc4gz0bgd9,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-bahce-yapi-market__boya-yalitim,sifir-urun/sifir-urun-bahce-yapi-market/boya-yalitim,cmsg3xif100ftuzdcqa93t5bv,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-bahce-yapi-market__tesisat,sifir-urun/sifir-urun-bahce-yapi-market/tesisat,cmsg3xif800fvuzdcsqbt481c,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
